"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"106","C
                                                                        Comer","Billings Mustangs","53","176","44","18","23","-","-","6","6","44","0.25","0.337","0.352","-","-","-","-","-","-","-","199",2021,"hitter"
"106","K
                                                                        Kaufman","Ogden Raptors","32","88","22","21","7","-","-","3","3","9","0.25","0.305","0.352","-","-","-","-","-","-","-","95",2021,"hitter"
"106","D
                                                                        Pearce","Ogden Raptors","34","32","8","12","4","-","-","2","2","7","0.25","0.333","0.438","-","-","-","-","-","-","-","36",2021,"hitter"
"109","A
                                                                        Bond","Billings Mustangs","25","57","14","5","10","-","-","1","1","25","0.246","0.358","0.298","-","-","-","-","-","-","-","67",2021,"hitter"
"109","A
                                                                        Eggleston","Great Falls Voyagers","36","57","14","10","4","-","-","1","1","14","0.246","0.295","0.298","-","-","-","-","-","-","-","61",2021,"hitter"
"111","J
                                                                        Talamante","Missoula PaddleHeads","18","29","7","2","6","-","-","0","0","9","0.241","0.371","0.241","-","-","-","-","-","-","-","35",2021,"hitter"
"112","M
                                                                        Harris","Boise Hawks","57","160","38","27","25","-","-","6","6","60","0.237","0.341","0.35","-","-","-","-","-","-","-","185",2021,"hitter"
"113","B
                                                                        Smith","Boise Hawks","46","154","35","34","21","-","-","8","8","33","0.227","0.32","0.383","-","-","-","-","-","-","-","175",2021,"hitter"
"114","J
                                                                        Malec","Great Falls Voyagers","45","128","29","11","24","-","-","1","1","51","0.227","0.349","0.25","-","-","-","-","-","-","-","152",2021,"hitter"
"115","C
                                                                        Gallardo","Rocky Mountain Vibes","58","166","37","13","28","-","-","1","1","43","0.223","0.335","0.241","-","-","-","-","-","-","-","194",2021,"hitter"
"116","G
                                                                        Bautista","Billings Mustangs","32","90","20","12","8","-","-","1","1","18","0.222","0.286","0.256","-","-","-","-","-","-","-","98",2021,"hitter"
"117","B
                                                                        Broussard","Billings Mustangs","70","220","46","29","42","-","-","4","4","58","0.209","0.336","0.264","-","-","-","-","-","-","-","262",2021,"hitter"
"118","T
                                                                        Budnick","Ogden Raptors","42","24","5","0","4","-","-","0","0","10","0.208","0.321","0.208","-","-","-","-","-","-","-","28",2021,"hitter"
"119","F
                                                                        Rodriguez","Rocky Mountain Vibes","28","77","15","8","5","-","-","0","0","24","0.195","0.244","0.195","-","-","-","-","-","-","-","82",2021,"hitter"
"120","A
                                                                        Kern","Great Falls Voyagers","41","27","5","3","3","-","-","0","0","18","0.185","0.267","0.185","-","-","-","-","-","-","-","30",2021,"hitter"
"121","E
                                                                        Carrillo","Rocky Mountain Vibes","18","30","5","2","1","-","-","0","0","11","0.167","0.194","0.167","-","-","-","-","-","-","-","31",2021,"hitter"
"122","Q
                                                                        Jones","Great Falls Voyagers","25","20","3","1","1","-","-","0","0","7","0.15","0.19","0.15","-","-","-","-","-","-","-","21",2021,"hitter"
"123","A
                                                                        Kaufman","Billings Mustangs","32","28","4","2","2","-","-","0","0","13","0.143","0.2","0.143","-","-","-","-","-","-","-","30",2021,"hitter"
"123","C
                                                                        Stratton","Grand Junction Jackalopes","13","21","3","2","1","-","-","0","0","5","0.143","0.182","0.143","-","-","-","-","-","-","-","22",2021,"hitter"
"123","M
                                                                        Thomas","Great Falls Voyagers","29","14","2","1","1","-","-","0","0","7","0.143","0.2","0.143","-","-","-","-","-","-","-","15",2021,"hitter"
"1","C
                                                                        Grant-Debose","Great Falls Voyagers","15","1","1","0","-","-","-","-","0","-","1","1","1","-","-","-","-","-","-","-","1",2022,"hitter"
"1","B
                                                                        Pooler","Great Falls Voyagers","14","1","1","1","-","-","-","-","0","-","1","1","1","-","-","-","-","-","-","-","1",2022,"hitter"
"3","D
                                                                        Day","Glacier Range Riders","13","5","4","1","1","-","-","1","1","1","0.8","0.833","1.4","-","-","-","-","-","-","-","6",2022,"hitter"
"4","D
                                                                        Jacob","Grand Junction Jackalopes","1","3","2","1","-","-","-","-","0","-","0.667","0.667","0.667","-","-","-","-","1","-","-","3",2022,"hitter"
"5","B
                                                                        Demco","Great Falls Voyagers","36","2","1","0","-","-","-","-","0","1","0.5","0.5","0.5","-","-","-","-","-","-","-","2",2022,"hitter"
"5","Q
                                                                        Jones","Great Falls Voyagers","20","2","1","1","-","-","-","-","0","1","0.5","0.5","0.5","-","-","-","-","-","-","-","2",2022,"hitter"
"5","J
                                                                        Reinhardt","Idaho Falls Chukars","2","6","3","0","3","-","-","-","0","1","0.5","0.667","0.5","-","-","-","-","1","1","1.00","9",2022,"hitter"
"8","C
                                                                        Estrada","Idaho Falls Chukars","55","208","89","66","37","23","-","13","36","28","0.428","0.51","0.726","1","3","-","3","51","41","1.24","249",2022,"hitter"
"9","H
                                                                        Hudson","Idaho Falls Chukars","10","27","11","14","3","4","-","2","6","8","0.407","0.467","0.778","-","-","-","-","5","3","1.67","30",2022,"hitter"
"9","R
                                                                        Jepson","Great Falls Voyagers","66","243","99","55","61","17","4","12","33","32","0.407","0.524","0.658","2","3","-","7","68","44","1.55","309",2022,"hitter"
"11","N
                                                                        Popa","Grand Junction Jackalopes","93","392","159","85","23","19","5","6","30","58","0.406","0.449","0.526","12","5","1","2","88","80","1.10","433",2022,"hitter"
"12","J
                                                                        Agnew","Grand Junction Jackalopes","25","5","2","2","-","-","-","1","1","1","0.4","0.4","1","-","-","-","-","1","1","1.00","5",2022,"hitter"
"12","G
                                                                        Buhner","Ogden Raptors","9","25","10","2","3","4","-","-","4","5","0.4","0.5","0.56","2","-","-","1","7","3","2.33","30",2022,"hitter"
"12","A
                                                                        Ludwick","Missoula PaddleHeads","5","10","4","3","-","-","-","-","0","2","0.4","0.4","0.4","-","-","-","-","2","2","1.00","10",2022,"hitter"
"15","L
                                                                        Sparks","Missoula PaddleHeads","88","346","138","85","49","28","5","18","51","60","0.399","0.461","0.665","-","11","-","5","63","80","0.79","406",2022,"hitter"
"16","A
                                                                        Guadalupe","Colorado Springs Sky Sox","35","128","51","28","17","13","-","6","19","22","0.398","0.484","0.641","6","2","1","4","35","22","1.59","154",2022,"hitter"
"17","L
                                                                        Williams","Ogden Raptors","22","71","28","8","8","3","-","2","5","25","0.394","0.457","0.521","1","1","-","-","9","10","0.90","81",2022,"hitter"
"18","G
                                                                        Diaz","Rocky Mountain Vibes","88","376","148","41","32","16","2","2","20","26","0.394","0.446","0.463","6","3","2","11","112","87","1.29","419",2022,"hitter"
"19","D
                                                                        Molinari","Colorado Springs Sky Sox","6","23","9","5","5","1","-","1","2","5","0.391","0.483","0.565","-","1","-","-","4","5","0.80","29",2022,"hitter"
"20","P
                                                                        Chung","Missoula PaddleHeads","33","95","37","20","6","5","3","2","10","5","0.389","0.419","0.568","1","3","-","1","26","28","0.93","105",2022,"hitter"
"21","C
                                                                        Steele","Colorado Springs Sky Sox","9","18","7","1","1","-","-","-","0","-","0.389","0.421","0.389","-","-","1","1","7","5","1.40","20",2022,"hitter"
"22","B
                                                                        Trammell","Glacier Range Riders","12","44","17","12","3","2","1","2","5","13","0.386","0.438","0.614","1","-","-","1","8","5","1.60","48",2022,"hitter"
"23","J
                                                                        Broughton","Ogden Raptors","88","365","139","71","39","25","8","14","47","56","0.381","0.437","0.608","2","6","-","3","69","95","0.73","412",2022,"hitter"
"24","L
                                                                        Navarro","Rocky Mountain Vibes","60","211","79","44","46","19","2","6","27","25","0.374","0.49","0.569","4","2","-","4","67","36","1.86","263",2022,"hitter"
"25","C
                                                                        LeBron","Boise Hawks","10","43","16","14","4","5","-","-","5","13","0.372","0.417","0.488","-","1","-","-","9","5","1.80","48",2022,"hitter"
