"rk","name","team","gp","ab","h","rbi","bb","x2b","x3b","hr","xbh","k","avg","obp","slg","hbp","sf","sh","hdp","go","fo","go_fo","pa","season","player_type"
"26","D
                                                                        Stroup","Idaho Falls Chukars","92","386","143","105","25","24","3","23","50","94","0.37","0.413","0.627","12","13","-","15","65","94","0.69","436",2022,"hitter"
"27","M
                                                                        Warkentin","Ogden Raptors","15","46","17","19","10","5","-","4","9","13","0.37","0.538","0.739","8","1","-","-","7","8","0.88","65",2022,"hitter"
"28","J
                                                                        Valdez","Ogden Raptors","94","379","140","109","33","25","2","21","48","55","0.369","0.433","0.612","14","6","5","8","75","105","0.71","437",2022,"hitter"
"29","J
                                                                        Newman","Missoula PaddleHeads","88","355","131","115","43","19","2","32","53","63","0.369","0.441","0.704","7","5","-","13","84","68","1.24","410",2022,"hitter"
"30","J
                                                                        Lara","Rocky Mountain Vibes","15","41","15","4","4","2","1","-","3","16","0.366","0.449","0.463","3","1","-","-","6","4","1.50","49",2022,"hitter"
"31","T
                                                                        Bouchard","Colorado Springs Sky Sox","67","257","94","53","32","21","5","12","38","76","0.366","0.438","0.626","2","1","-","4","50","37","1.35","292",2022,"hitter"
"32","J
                                                                        Reyes","Idaho Falls Chukars","69","281","102","56","24","20","3","6","29","39","0.363","0.412","0.52","-","1","2","8","88","44","2.00","308",2022,"hitter"
"33","A
                                                                        Don","Idaho Falls Chukars","16","69","25","13","5","4","-","-","4","15","0.362","0.421","0.42","2","-","-","-","19","10","1.90","76",2022,"hitter"
"34","A
                                                                        Elder","Grand Junction Jackalopes","34","116","42","15","19","6","-","-","6","9","0.362","0.475","0.414","6","-","-","1","31","29","1.07","141",2022,"hitter"
"35","C
                                                                        Petersen","Grand Junction Jackalopes","74","264","95","75","46","15","6","14","35","79","0.36","0.469","0.621","10","2","1","4","48","35","1.37","323",2022,"hitter"
"36","G
                                                                        Howell","Glacier Range Riders","23","81","29","25","16","7","-","5","12","18","0.358","0.485","0.63","4","-","-","1","16","14","1.14","101",2022,"hitter"
"37","S
                                                                        Strong","Colorado Springs Sky Sox","4","14","5","5","2","1","1","-","2","4","0.357","0.412","0.571","-","1","-","-","3","3","1.00","17",2022,"hitter"
"37","S
                                                                        Troyer","Idaho Falls Chukars","26","112","40","19","7","14","2","-","16","26","0.357","0.438","0.518","9","-","-","2","23","19","1.21","128",2022,"hitter"
"39","A
                                                                        Sequera","Boise Hawks","46","197","70","38","26","25","-","2","27","28","0.355","0.431","0.513","1","1","-","5","46","44","1.05","225",2022,"hitter"
"40","M
                                                                        Feinstein","Idaho Falls Chukars","28","113","40","22","26","7","-","7","14","29","0.354","0.486","0.602","4","1","-","4","21","22","0.95","144",2022,"hitter"
"40","N
                                                                        Scantlin","Grand Junction Jackalopes","26","113","40","13","15","7","1","-","8","17","0.354","0.443","0.434","3","-","-","-","23","26","0.88","131",2022,"hitter"
"42","B
                                                                        Bohning","Idaho Falls Chukars","25","85","30","12","15","2","1","-","3","17","0.353","0.467","0.4","4","1","1","2","20","17","1.18","106",2022,"hitter"
"43","K
                                                                        Higgins","Colorado Springs Sky Sox","85","335","118","57","13","13","3","3","19","62","0.352","0.379","0.436","2","1","1","8","90","57","1.58","352",2022,"hitter"
"44","C
                                                                        Dunn","Glacier Range Riders","44","166","58","25","10","12","1","3","16","22","0.349","0.386","0.488","-","-","2","7","54","27","2.00","178",2022,"hitter"
