"rk","name","team","era","w","l","app","gs","sv","ip","h","r","er","bb","k","k_9","hr","whip","bf","wp","hbp","season","player_type"
"62","B
                                                                        Wozniak","Long Beach Coast","2.21","3","0","6","6","0","36.2","35","14","9","10","21","5.15","2","1.23","152","1","1",2026,"pitcher"
"63","H
                                                                        Mullins","Billings Mustangs","4.21","5","2","25","0","0","36.1","39","19","17","23","31","7.68","3","1.71","164","3","2",2026,"pitcher"
"64","Z
                                                                        Voelker","Long Beach Coast","3.79","2","3","31","0","13","35.2","27","18","15","24","56","14.13","3","1.43","160","3","1",2026,"pitcher"
"65","E
                                                                        Sepulveda","Great Falls Voyagers","9.17","4","0","28","0","0","35.1","43","38","36","32","14","3.57","8","2.12","180","1","6",2026,"pitcher"
"66","H
                                                                        Day","Oakland Ballers","7.2","0","3","8","7","0","35","51","30","28","18","26","6.69","6","1.97","168","1","1",2026,"pitcher"
"66","K
                                                                        Worek","Great Falls Voyagers","8.23","0","2","23","0","1","35","39","39","32","35","31","7.97","5","2.11","186","6","10",2026,"pitcher"
"68","A
                                                                        Bustamante","Glacier Range Riders","3.12","2","0","25","0","1","34.2","38","13","12","18","32","8.31","3","1.62","155","4","3",2026,"pitcher"
"68","R
                                                                        Faulks","Long Beach Coast","5.71","1","0","28","0","1","34.2","38","28","22","19","30","7.79","7","1.64","166","6","5",2026,"pitcher"
"68","G
                                                                        Garza","Missoula PaddleHeads","7.79","2","0","21","1","0","34.2","47","35","30","22","20","5.19","11","1.99","176","-","1",2026,"pitcher"
"68","S
                                                                        Murray","Great Falls Voyagers","9.35","2","0","30","0","1","34.2","48","38","36","28","50","12.98","4","2.19","178","7","1",2026,"pitcher"
"72","R
                                                                        DuSang","Boise Hawks","7.34","5","2","31","0","6","34.1","37","29","28","29","32","8.39","4","1.92","163","3","4",2026,"pitcher"
"72","D
                                                                        Pratt","Glacier Range Riders","7.08","1","4","22","0","1","34.1","32","29","27","26","55","14.42","2","1.69","163","3","4",2026,"pitcher"
"74","V
                                                                        Cisneros","Oakland Ballers","5.56","5","0","27","0","0","34","35","26","21","29","44","11.65","4","1.88","167","6","2",2026,"pitcher"
"75","C
                                                                        Anziani","Billings Mustangs","5.61","3","1","23","0","1","33.2","40","21","21","22","31","8.29","1","1.84","165","4","4",2026,"pitcher"
"75","C
                                                                        Murphy","Great Falls Voyagers","12.03","0","3","11","4","0","33.2","62","49","45","25","37","9.89","7","2.58","189","2","2",2026,"pitcher"
"75","M
                                                                        Pennington","Idaho Falls Chukars","8.02","2","1","6","6","0","33.2","46","34","30","11","22","5.88","10","1.69","158","1","1",2026,"pitcher"
"78","C
                                                                        Peguero","Great Falls Voyagers","13.36","2","1","7","6","0","33","61","50","49","18","37","10.09","5","2.39","183","6","5",2026,"pitcher"
"79","M
                                                                        O'Brien","Long Beach Coast","3.31","3","1","7","5","0","32.2","25","12","12","11","22","6.06","3","1.1","135","1","4",2026,"pitcher"
"79","W
                                                                        Rogers","Great Falls Voyagers","5.79","2","2","18","2","3","32.2","33","24","21","20","43","11.85","6","1.62","157","4","2",2026,"pitcher"
"81","C
                                                                        Barker","Yuba-Sutter Freebirds","4.5","1","1","30","0","0","32","17","17","16","39","42","11.81","2","1.75","158","3","10",2026,"pitcher"
"81","K
                                                                        Lewis","Ogden Raptors","8.16","3","3","32","0","0","32","46","40","29","25","31","8.72","11","2.22","173","4","5",2026,"pitcher"
"81","M
                                                                        Taubensee","Missoula PaddleHeads","4.22","1","1","30","0","4","32","22","16","15","27","50","14.06","2","1.53","145","5","-",2026,"pitcher"
"84","C
                                                                        Canada","Glacier Range Riders","6.25","2","2","11","4","0","31.2","32","27","22","28","40","11.37","6","1.89","158","5","4",2026,"pitcher"
"84","J
                                                                        Hamberg","RedPocket Mobiles","11.08","1","4","12","7","0","31.2","37","43","39","40","46","13.07","7","2.43","176","1","3",2026,"pitcher"
