player_name,suggested_full_name,team,season,scout_grade,pa,ops,iso,master_team,position,bats_throws,height,weight,match_status
I Nunez,NA,Grand Junction Jackalopes,2025,64.3033503006519,415,1.006,0.199,NA,NA,NA,NA,NA,manual_needed
A Guadalupe,NA,Colorado Springs Sky Sox,2023,64.1099168109582,366,0.985,0.241,NA,NA,NA,NA,NA,manual_needed
J Collura,Jaden Collura,Oakland Ballers,2026,63.806134137636,172,1.011,0.195,Oakland Ballers,C,L/R,"5'8""",190,already_in_lookup
S Rich,NA,Idaho Falls Chukars,2025,63.7515956241171,221,1.085,0.245,NA,NA,NA,NA,NA,manual_needed
E Sleight,NA,Missoula PaddleHeads,2025,63.6799629169638,352,0.998,0.246,NA,NA,NA,NA,NA,manual_needed
P Chung,NA,Missoula PaddleHeads,2024,63.6705782988113,434,1.061,0.21,NA,NA,NA,NA,NA,manual_needed
E Apodaca,Enzo Apodaca,Missoula PaddleHeads,2026,63.6291554788839,241,1.003,0.188,Missoula PaddleHeads,OF,L/L,5-7,195,already_in_lookup
E Pelc,NA,Long Beach Coast,2026,63.6240121125657,259,1.123,0.182,NA,NA,NA,NA,NA,manual_needed
J Teixeira,NA,Boise Hawks,2022,63.6116343135885,406,0.976,0.224,NA,NA,NA,NA,NA,manual_needed
J Donahue,Jordan Donahue,Yuba-Sutter Freebirds,2026,63.4807335606696,175,0.927,0.201,Yuba-Sutter Freebirds,Infielder,L/R,5'10,170,already_in_lookup
P Robertson,NA,Colorado Springs Sky Sox,2023,63.3396489862324,408,1.012,0.219,NA,NA,NA,NA,NA,manual_needed
N Blythe,Noah Blythe,Oakland Ballers,2026,63.3140066009819,173,0.955,0.228,Oakland Ballers,OF,R/R,"6'1""",210,already_in_lookup
J Hjelle,NA,Boise Hawks,2025,63.0888786764404,428,1.016,0.297,NA,NA,NA,NA,NA,manual_needed
Z Blaszak,Zack Blaszak,Great Falls Voyagers,2026,62.7607038784755,155,0.939,0.197,Great Falls Voyagers,INF,L/R,6'0,175,already_in_lookup
D Hubbard,NA,Oakland Ballers,2024,62.6350099902245,396,0.922,0.217,NA,NA,NA,NA,NA,manual_needed
L Navarro,NA,Missoula PaddleHeads,2023,62.5805546814395,300,1.007,0.191,NA,NA,NA,NA,NA,manual_needed
M Clayton,NA,Glacier Range Riders,2023,62.5768892939483,320,0.926,0.21,NA,NA,NA,NA,NA,manual_needed
K Moody,NA,Colorado Springs Sky Sox,2025,62.413411698082,335,0.971,0.193,NA,NA,NA,NA,NA,manual_needed
T Kelly,NA,Idaho Falls Chukars,2022,61.9992579451489,161,0.981,0.196,NA,NA,NA,NA,NA,manual_needed
D Glancy,NA,Yuba-Sutter Freebirds,2024,61.9443603375149,123,0.92,0.192,NA,NA,NA,NA,NA,manual_needed
E Lopez,NA,Rocky Mountain Vibes,2023,61.9362938575164,335,0.983,0.212,NA,NA,NA,NA,NA,manual_needed
J Boyd,NA,Modesto Roadsters,2026,61.9229657728933,169,1.015,0.212,NA,NA,NA,NA,NA,manual_needed
G Wurtz,NA,Billings Mustangs,2023,61.6997537468314,402,0.996,0.239,NA,NA,NA,NA,NA,manual_needed
T Wyatt,NA,Idaho Falls Chukars,2024,61.6114231633294,431,0.967,0.22,NA,NA,NA,NA,NA,manual_needed
D Stuart,NA,Oakland Ballers,2024,61.483263787435,163,0.938,0.192,NA,NA,NA,NA,NA,manual_needed
D Nevarez,NA,Missoula PaddleHeads,2021,61.2163079672875,180,0.916,0.208,NA,NA,NA,NA,NA,manual_needed
S Macias,NA,Rocky Mountain Vibes,2021,61.2029273323063,125,0.949,0.213,NA,NA,NA,NA,NA,manual_needed
J Broughton,NA,Ogden Raptors,2022,61.1571515910333,412,1.045,0.227,NA,NA,NA,NA,NA,manual_needed
L Williams,NA,Ogden Raptors,2023,60.8165661501173,360,0.957,0.218,NA,NA,NA,NA,NA,manual_needed
D Miller,NA,Glacier Range Riders,2023,60.8077245523339,431,1.019,0.211,NA,NA,NA,NA,NA,manual_needed
C Taylor,NA,Glacier Range Riders,2023,60.7296478574945,299,0.937,0.209,NA,NA,NA,NA,NA,manual_needed
B Blackford,NA,Yuba-Sutter Freebirds,2024,60.603382484097,343,0.975,0.235,NA,NA,NA,NA,NA,manual_needed
D Poteet,NA,Boise Hawks,2023,60.5168232855893,292,1.001,0.244,NA,NA,NA,NA,NA,manual_needed
J Elvir,NA,Grand Junction Jackalopes,2022,60.4456263084902,354,0.948,0.246,NA,NA,NA,NA,NA,manual_needed
W Mitchell,Wesley Mitchell,Idaho Falls Chukars,2026,60.4256090011757,211,0.931,0.224,Idaho Falls Chukars,OF,R/R,6'4,215,already_in_lookup
M Yonamine,NA,Boise Hawks,2024,60.4127210258034,467,0.979,0.236,NA,NA,NA,NA,NA,manual_needed
C Garner,Carson Garner,Glacier Range Riders,2026,60.2232835529385,207,0.941,0.199,Glacier Range Riders,INF,R/R,6-1,205,already_in_lookup
C Sepulveda,NA,Billings Mustangs,2021,60.169666860288,210,0.932,0.162,NA,NA,NA,NA,NA,manual_needed
D Tofteland,NA,Rocky Mountain Vibes,2025,60.0823325439953,429,1.012,0.217,NA,NA,NA,NA,NA,manual_needed
Q Landis,NA,Colorado Springs Sky Sox,2025,60.0151118773408,323,0.958,0.161,NA,NA,NA,NA,NA,manual_needed
Z Denton,NA,Colorado Springs Sky Sox,2025,59.9981819035762,228,0.973,0.224,NA,NA,NA,NA,NA,manual_needed
E Paton,NA,Glacier Range Riders,2025,59.8503380393031,137,0.991,0.227,NA,NA,NA,NA,NA,manual_needed
T Clarkson,NA,Glacier Range Riders,2025,59.6610363215304,435,0.891,0.187,NA,NA,NA,NA,NA,manual_needed
B Ryan,NA,Billings Mustangs,2024,59.6574628971662,411,0.981,0.196,NA,NA,NA,NA,NA,manual_needed
C Bufford,Cam Bufford,Oakland Ballers,2025,59.6102617274244,387,1,0.248,Oakland Ballers,UTIL,R/R,6'3,195,already_in_lookup
J Goldfarb,NA,Ogden Raptors,2021,59.6061562306825,320,0.93,0.174,NA,NA,NA,NA,NA,manual_needed
G Ostrander,Garret Ostrander,Idaho Falls Chukars,2025,59.5877723636717,384,1.018,0.169,Idaho Falls Chukars,UTL,R/R,5'11,185,already_in_lookup
C Sargent,NA,Ogden Raptors,2024,59.5408098601405,401,0.914,0.226,NA,NA,NA,NA,NA,manual_needed
K Stancato,Kyler Stancato,Ogden Raptors,2025,59.3818034239259,188,0.914,0.185,Ogden Raptors,OF,L/L,6'3,210,already_in_lookup
W Grant,Wyatt Grant,Boise Hawks,2026,59.2743445100038,141,0.943,0.207,Boise Hawks,C,R/R,6&rsquo;1&rdquo;,210,already_in_lookup
R Paller,NA,Idaho Falls Chukars,2023,58.9593839375524,126,0.93,0.202,NA,NA,NA,NA,NA,manual_needed
L Navigato,NA,Missoula PaddleHeads,2021,58.940369466242,159,0.901,0.134,NA,NA,NA,NA,NA,manual_needed
S Ullian,NA,Ogden Raptors,2022,58.7121892417228,233,0.991,0.255,NA,NA,NA,NA,NA,manual_needed
G Lora Gonzalez,NA,Rocky Mountain Vibes,2025,58.3241223624875,376,0.925,0.194,NA,NA,NA,NA,NA,manual_needed
B Lada,NA,Yuba-Sutter Freebirds,2025,58.1290729492761,433,0.902,0.22,NA,NA,NA,NA,NA,manual_needed
E Blum,NA,Billings Mustangs,2024,57.8566015311058,142,0.918,0.227,NA,NA,NA,NA,NA,manual_needed
J Kalafut,Joseph Kalafut,Boise Hawks,2026,57.8001252231246,218,1.065,0.152,Boise Hawks,OF,L/L,6&rsquo;3,220,already_in_lookup
F Rojas Jr.,NA,Great Falls Voyagers,2024,57.7631932692333,364,0.934,0.184,NA,NA,NA,NA,NA,manual_needed
T McKenzie,NA,Oakland Ballers,2025,57.2158637707867,389,0.904,0.212,NA,NA,NA,NA,NA,manual_needed
R Gil,NA,Boise Hawks,2022,56.8807610839198,373,0.883,0.233,NA,NA,NA,NA,NA,manual_needed
S Coffman,NA,Grand Junction Jackalopes,2025,56.7585114337354,378,1.007,0.19,NA,NA,NA,NA,NA,manual_needed
C Farmer,NA,Grand Junction Jackalopes,2022,56.5578216154002,169,0.906,0.182,NA,NA,NA,NA,NA,manual_needed
C Hext,NA,Yuba-Sutter Freebirds,2025,56.3732319130881,392,0.902,0.204,NA,NA,NA,NA,NA,manual_needed
B Daniel,NA,Great Falls Voyagers,2022,56.3711320883545,410,0.943,0.189,NA,NA,NA,NA,NA,manual_needed
X Washington,NA,Great Falls Voyagers,2024,56.3461553409757,438,1.036,0.211,NA,NA,NA,NA,NA,manual_needed
W Rogers,Will Rogers,Great Falls Voyagers,2026,56.3170512008724,119,0.939,0.239,Great Falls Voyagers,RHP/UTL,R/R,NA,NA,already_in_lookup
S Linscott,NA,Rocky Mountain Vibes,2025,56.2173215688165,423,1.033,0.191,NA,NA,NA,NA,NA,manual_needed
M Rosario,NA,Missoula PaddleHeads,2025,56.0251492877219,415,1.014,0.201,NA,NA,NA,NA,NA,manual_needed
U Cantu,NA,Rocky Mountain Vibes,2022,56.0245055458327,386,0.954,0.193,NA,NA,NA,NA,NA,manual_needed
V Esposito,NA,Grand Junction Jackalopes,2021,55.9946284775428,306,0.857,0.168,NA,NA,NA,NA,NA,manual_needed
M Koszewski,Michael Koszewski,Missoula PaddleHeads,2026,55.9054680362993,247,0.981,0.149,Missoula PaddleHeads,OF,L/L,5-10,190,already_in_lookup
D Stengren,NA,Idaho Falls Chukars,2026,55.8628978668824,102,0.959,0.147,NA,NA,NA,NA,NA,manual_needed
D Woodcox,NA,Boise Hawks,2025,55.7541886923526,193,0.88,0.189,NA,NA,NA,NA,NA,manual_needed
T Williams,NA,Modesto Roadsters,2026,55.7372477705967,105,0.998,0.176,NA,NA,NA,NA,NA,manual_needed
C Gordon,NA,Missoula PaddleHeads,2025,55.7288791260379,431,0.904,0.179,NA,NA,NA,NA,NA,manual_needed
B Carson,NA,Oakland Ballers,2024,55.6126114583064,413,0.931,0.197,NA,NA,NA,NA,NA,manual_needed
A Atwood,NA,Great Falls Voyagers,2022,55.5879697194617,107,0.933,0.185,NA,NA,NA,NA,NA,manual_needed
J Cone,John Cone,Ogden Raptors,2024,55.5530412479805,422,0.958,0.187,Boise Hawks,RHP,L/R,6&rsquo;0&rdquo;,190,already_in_lookup
C Middleton,NA,Grand Junction Jackalopes,2022,55.5400897742586,176,0.894,0.214,NA,NA,NA,NA,NA,manual_needed
C Jordan,Cole Jordan,Ogden Raptors,2025,55.5226802784746,437,0.945,0.174,Ogden Raptors,UTL,R/R,5'10,193,already_in_lookup
T Carranza,NA,Billings Mustangs,2021,55.4670119322522,317,0.829,0.151,NA,NA,NA,NA,NA,manual_needed
B Smith,NA,Boise Hawks,2021,55.4292742062004,175,0.703,0.156,NA,NA,NA,NA,NA,manual_needed
N Marcelo,NA,Boise Hawks,2025,55.2854307379526,486,0.973,0.201,NA,NA,NA,NA,NA,manual_needed
R Martinez,NA,Grand Junction Jackalopes,2021,54.9878752820887,168,0.841,0.127,NA,NA,NA,NA,NA,manual_needed
J Akins,NA,Missoula PaddleHeads,2021,54.7464282816978,291,0.861,0.154,NA,NA,NA,NA,NA,manual_needed
C Castillo,NA,Glacier Range Riders,2024,54.6972258191442,376,0.987,0.213,NA,NA,NA,NA,NA,manual_needed
B Watkins,NA,Great Falls Voyagers,2025,54.6109534580088,121,1.014,0.192,NA,NA,NA,NA,NA,manual_needed
A Figueredo,NA,Yuba-Sutter Freebirds,2024,54.5448582448611,286,0.872,0.158,NA,NA,NA,NA,NA,manual_needed
J Steele,Jacob Steele,Glacier Range Riders,2026,54.0273970563114,164,0.885,0.174,Glacier Range Riders,INF,R/R,6-2,195,already_in_lookup
D Macaluso,NA,Ogden Raptors,2022,53.833499371786,146,0.908,0.206,NA,NA,NA,NA,NA,manual_needed
A Folds,Austin Folds,Boise Hawks,2026,53.812376317349,144,0.955,0.148,Boise Hawks,OF,L/L,5&amp;rsquo;10,180,already_in_lookup
J Lojewski,NA,Modesto Roadsters,2026,53.7813913123383,240,0.911,0.178,NA,NA,NA,NA,NA,manual_needed
A Swenda,Anthony Swenda,Great Falls Voyagers,2025,53.7587727622881,291,0.923,0.188,Great Falls Voyagers,INF,R/R,NA,NA,already_in_lookup
J Rooks,NA,Billings Mustangs,2024,53.64954465297,131,0.957,0.189,NA,NA,NA,NA,NA,manual_needed
T McCaffrey,NA,Idaho Falls Chukars,2025,53.2489598404688,240,0.917,0.192,NA,NA,NA,NA,NA,manual_needed
K Ashworth,Kyle Ashworth,Glacier Range Riders,2026,53.2239984202778,202,1.011,0.14,Glacier Range Riders,OF,L/R,6-0,180,already_in_lookup
K Quiggle,NA,Idaho Falls Chukars,2021,53.2063217935058,261,0.973,0.164,NA,NA,NA,NA,NA,manual_needed
T Bouchard,NA,Colorado Springs Sky Sox,2023,52.7704428466135,316,0.895,0.186,NA,NA,NA,NA,NA,manual_needed
C Castaneda,Christian Castaneda,Grand Junction Jackalopes,2025,52.6116838350025,326,0.949,0.183,Yuba-Sutter Freebirds,First Base/Outfield,R/R,6'1,220,already_in_lookup
N Gatewood,NA,Missoula PaddleHeads,2022,52.4982385594312,436,0.91,0.204,NA,NA,NA,NA,NA,manual_needed
J Fitzpatrick,NA,Grand Junction Jackalopes,2022,52.2265991886006,177,0.942,0.2,NA,NA,NA,NA,NA,manual_needed
J Williams,NA,Great Falls Voyagers,2023,52.1021752673417,349,0.917,0.171,NA,NA,NA,NA,NA,manual_needed
C Runge,NA,Great Falls Voyagers,2022,52.0305710249659,396,0.871,0.157,NA,NA,NA,NA,NA,manual_needed
