"player_name","team","season","pa","ops","iso","scout_grade","signing_probability","signed_by_mlb_org"
"D Ratfield","Glacier Range Riders",2026,230,1.024,0.168,56.9177498448623,0.0279674205921057,0
"T Wyatt","Idaho Falls Chukars",2024,431,0.967,0.22,60.3791622705866,0.0279541919091275,0
"A Redahan","Great Falls Voyagers",2026,124,1.234,0.271,67.239918880188,0.0275066598063973,0
"B Marine","Yuba-Sutter Freebirds",2024,381,0.976,0.148,45.5211364191934,0.0274621845252097,0
"C Hanson","Billings Mustangs",2025,164,0.799,0.093,38.9707551257718,0.0272859234580428,0
"N Pacheco","Ogden Raptors",2021,108,0.699,0.032,29.3661769933994,0.0271972353076028,0
"J Duarte","Yuba-Sutter Freebirds",2026,197,0.927,0.081,42.46791802318,0.0271224268140835,0
"E Sleight","Missoula PaddleHeads",2025,352,0.998,0.246,62.8239415749482,0.0266381003744726,0
"Q Alexander","Great Falls Voyagers",2021,239,0.637,0,24.9327177480081,0.026500836172739,0
"D Henderson","Ogden Raptors",2023,113,1.147,0.258,64.7066992058749,0.0264308382371649,0
"A Meggs","Grand Junction Jackalopes",2023,223,0.76,0.067,35.9917491751227,0.0263352910016682,0
"C Runge","Great Falls Voyagers",2022,396,0.871,0.157,51.1291343410857,0.0262912816047232,0
"J Begora","Boise Hawks",2025,349,0.9,0.19,46.8078325813789,0.0261306286259125,0
"E Good","Ogden Raptors",2025,413,0.902,0.13,48.1856017432059,0.0261291654445256,0
"A Fritz","Great Falls Voyagers",2025,335,0.945,0.213,63.2464487966049,0.0260730504112067,0
"N Gatewood","Missoula PaddleHeads",2022,436,0.91,0.204,51.3152399433235,0.025946230493573,0
"P Coddou","Yuba-Sutter Freebirds",2025,306,0.881,0.112,44.9239099851683,0.0259363913382791,0
"P Shelton","Grand Junction Jackalopes",2025,158,0.804,0.101,37.5880862883639,0.0257053537563926,0
"J Teixeira","Boise Hawks",2022,406,0.976,0.224,62.4107647339819,0.0256269711573692,0
"C Denning","Billings Mustangs",2023,353,1.008,0.232,69.1286398969913,0.0256190419502227,0
"A Baeza","Boise Hawks",2023,319,1.012,0.229,68.3156049764375,0.0255233123665289,0
"S Baumgardt","Idaho Falls Chukars",2025,341,1.097,0.292,71.54056035896,0.0254564087171404,0
"W Rogers","Great Falls Voyagers",2026,123,0.924,0.231,54.5475379112442,0.0253220287628868,0
"A Ray","Grand Junction Jackalopes",2023,250,0.844,0.13,42.2173161910652,0.0251957340259834,0
"M Herron Jr.","Rocky Mountain Vibes",2023,352,0.837,0.183,44.87945158451,0.0250455211011069,0
"S Canton","Idaho Falls Chukars",2026,307,1.197,0.331,74.4892793439132,0.025003126641036,0
"A Figueredo","Yuba-Sutter Freebirds",2024,286,0.872,0.158,53.9406805290904,0.0249914588991841,0
"T Clark","Oakland Ballers",2024,160,0.863,0.145,42.501460070282,0.0249067112428158,0
"C Wilkerson","Missoula PaddleHeads",2025,440,0.858,0.126,45.4461064730307,0.0248920345693919,0
"T Rogers","Idaho Falls Chukars",2025,460,1.183,0.326,76.7893141099021,0.0248069704947785,0
"J Jablonski","Idaho Falls Chukars",2025,299,1.039,0.289,71.6492336072127,0.0248055516589431,0
"A Nunez","Rocky Mountain Vibes",2021,233,0.612,0.013,22.071411661338,0.0246414574256009,0
"A Monge","Grand Junction Jackalopes",2021,158,0.61,0,24.0604870297423,0.0245217978539249,0
"R Cash","Glacier Range Riders",2022,386,0.803,0.073,39.3169757735717,0.0244431260795003,0
