rk,name,team,era,w,l,app,gs,sv,ip,h,r,er,bb,k,k_9,hr,whip,bf,wp,hbp,season,player_type,ip_raw,bb_9,hr_9,h_9,k_bb,k_pct,bb_pct,k_minus_bb_pct,gs_pct,league_era,league_fip_component,fip_constant,fip
30,R Velazquez,RedPocket Mobiles,8.84,3,5,16,11,0,58,73,69,57,40,51,7.91,13,1.95,296,7,5,2026,pitcher,58,6.206896551724138,2.0172413793103448,11.327586206896552,1.275,0.17229729729729729,0.13513513513513514,0.03716216216216214,0.6875,7.548464236369433,2.4978212349877777,5.050643001381656,8.533401622071311
32,J Schaaf,Ogden Raptors,4.99,4,2,9,9,0,57.666666666666664,67,33,32,21,41,6.4,6,1.53,257,3,1,2026,pitcher,57.2,3.2774566473988442,0.9364161849710984,10.45664739884393,1.9523809523809523,0.15953307392996108,0.08171206225680934,0.07782101167315174,1,7.548464236369433,2.4978212349877777,5.050643001381656,6.1257875100521755
33,C Chatman,Ogden Raptors,8.89,3,4,15,12,0,56.666666666666664,77,64,56,36,48,7.62,11,1.99,286,4,5,2026,pitcher,56.2,5.7176470588235295,1.7470588235294118,12.229411764705883,1.3333333333333333,0.16783216783216784,0.1258741258741259,0.04195804195804195,0.8,7.548464236369433,2.4978212349877777,5.050643001381656,8.050643001381655
34,A Baker,Boise Hawks,8.31,3,4,12,11,0,56.333333333333336,79,62,52,40,46,7.35,8,2.11,288,2,5,2026,pitcher,56.1,6.390532544378698,1.2781065088757395,12.621301775147929,1.15,0.1597222222222222,0.1388888888888889,0.020833333333333315,0.9166666666666666,7.548464236369433,2.4978212349877777,5.050643001381656,7.660110457002958
34,A Risse,Oakland Ballers,9.27,2,6,12,12,0,56.333333333333336,86,62,58,32,36,5.75,10,2.09,281,6,4,2026,pitcher,56.1,5.112426035502958,1.5976331360946745,13.7396449704142,1.125,0.12811387900355872,0.11387900355871886,0.014234875444839867,1,7.548464236369433,2.4978212349877777,5.050643001381656,7.997388563511834
34,G VanDeventer,Long Beach Coast,5.59,4,1,11,10,0,56.333333333333336,75,42,35,20,42,6.71,6,1.69,258,3,3,2026,pitcher,56.1,3.195266272189349,0.9585798816568047,11.982248520710058,2.1,0.16279069767441862,0.07751937984496124,0.08527131782945738,0.9090909090909091,7.548464236369433,2.4978212349877777,5.050643001381656,6.168986196647928
37,D Gardner,Ogden Raptors,7.53,4,3,30,3,0,55,57,50,46,43,53,8.67,12,1.82,268,7,8,2026,pitcher,55,7.036363636363636,1.9636363636363636,9.327272727272728,1.2325581395348837,0.19776119402985073,0.16044776119402984,0.03731343283582089,0.1,7.548464236369433,2.4978212349877777,5.050643001381656,8.741552092290746
38,E Langston,Glacier Range Riders,10.54,2,4,20,8,0,54.666666666666664,85,69,64,30,33,5.43,7,2.1,275,5,6,2026,pitcher,54.2,4.939024390243903,1.152439024390244,13.99390243902439,1.1,0.12,0.10909090909090909,0.01090909090909091,0.4,7.548464236369433,2.4978212349877777,5.050643001381656,7.483569830649948
39,A Diaz,Modesto Roadsters,6.13,3,3,16,9,0,54.333333333333336,70,47,37,17,52,8.61,12,1.6,250,1,7,2026,pitcher,54.1,2.8159509202453985,1.987730061349693,11.595092024539877,3.0588235294117645,0.208,0.068,0.13999999999999999,0.5625,7.548464236369433,2.4978212349877777,5.050643001381656,7.332851590338711
40,C Hurley,Oakland Ballers,7.98,2,5,11,11,0,53,52,50,47,32,42,7.13,13,1.58,250,6,10,2026,pitcher,53,5.433962264150943,2.207547169811321,8.830188679245284,1.3125,0.168,0.128,0.04000000000000001,1,7.548464236369433,2.4978212349877777,5.050643001381656,9.031775076853354
