"player_name","team","season","gp","pa","ab","h","x2b","x3b","hr","bb","hbp","sf","k","x1b","avg","obp","slg","ops","iso","bb_rate","k_rate","hr_rate","xbh","xbh_rate","woba","lg_obp","lg_slg","ops_plus","name_key","iso_pct","hr_pct","bb_pct","k_pct","power_score","discipline_score","scout_score","power_grade","discipline_grade","scout_grade","alumni_name","organization","signed_by_mlb_org"
"A Figueredo","Billings Mustangs",2023,33,155,129,37,9,0,9,17,8,1,18,19,0.286821705426357,0.4,0.565891472868217,0.965891472868217,0.27906976744186,0.109677419354839,0.116129032258065,0.0580645161290323,18,0.116129032258065,0.417587096774194,0.415712620826764,0.519508091651979,105,"afigueredo",0.874499332443258,0.891855807743658,0.506008010680908,0.850467289719626,0.881441922563418,0.661014686248331,0.804292389853137,72.8865153538051,60.1622388967755,71.9900320398718,NA,NA,0
"A Figueredo","Yuba-Sutter Freebirds",2024,69,286,234,72,16,0,7,43,1,8,46,49,0.307692307692308,0.405594405594406,0.465811965811966,0.871406371406371,0.158119658119658,0.15034965034965,0.160839160839161,0.0244755244755245,23,0.0804195804195804,0.380933566433566,0.424262617051871,0.536937901498929,82,"afigueredo",0.46328437917223,0.449933244325768,0.817089452603471,0.619492656875834,0.457943925233645,0.728170894526035,0.552523364485981,47.4766355140187,64.2425471506794,55.7155031985933,NA,NA,0
"A Fishberg","Idaho Falls Chukars",2021,33,86,79,28,0,0,3,7,0,0,11,25,0.354430379746835,0.406976744186047,0.468354430379747,0.875331174565793,0.113924050632911,0.0813953488372093,0.127906976744186,0.0348837209302326,3,0.0348837209302326,0.387593023255814,0.386737115479336,0.403905188465603,121,"afishberg",0.29105473965287,0.624833110814419,0.232309746328438,0.803738317757009,0.42456608811749,0.489452603471295,0.447276368491322,45.4739652870494,49.7383897789495,48.912262532768,NA,NA,0
"A Fogel","Missoula PaddleHeads",2024,89,428,348,135,27,1,35,61,16,3,88,72,0.387931034482759,0.495327102803738,0.772988505747126,1.26831560855086,0.385057471264368,0.142523364485981,0.205607476635514,0.0817757009345794,63,0.147196261682243,0.530481308411215,0.424262617051871,0.536937901498929,161,"afogel",0.981308411214953,0.974632843791722,0.771695594125501,0.349799732977303,0.978638184245661,0.581842456608812,0.839759679572764,78.7182910547397,55.3518556073819,74.2826628693485,NA,NA,0
"A Fogel","Missoula PaddleHeads",2025,79,376,320,124,21,2,34,38,12,6,63,67,0.3875,0.462765957446808,0.784375,1.24714095744681,0.396875,0.101063829787234,0.167553191489362,0.0904255319148936,57,0.151595744680851,0.520577127659574,0.430165036674817,0.545487286609522,151,"afogel",0.983978638184246,0.986648865153538,0.42456608811749,0.567423230974633,0.985046728971963,0.488851802403204,0.811378504672897,79.1028037383178,49.701886027175,72.4480835409992,NA,NA,0
"A Fritz","Great Falls Voyagers",2024,17,46,41,14,2,0,1,4,0,1,9,11,0.341463414634146,0.391304347826087,0.463414634146341,0.854718981972428,0.121951219512195,0.0869565217391304,0.195652173913043,0.0217391304347826,3,0.0652173913043478,0.373282608695652,0.424262617051871,0.536937901498929,79,"afritz",0.323097463284379,0.41388518024032,0.281708945260347,0.408544726301736,0.359412550066756,0.338785046728972,0.352192923898531,41.5647530040053,40.5840600283918,42.7660010572079,NA,NA,0
"A Fritz","Great Falls Voyagers",2025,82,335,286,94,21,2,12,40,1,8,38,59,0.328671328671329,0.402985074626866,0.541958041958042,0.944943116584908,0.213286713286713,0.119402985074627,0.113432835820896,0.0358208955223881,35,0.104477611940299,0.405519402985075,0.430165036674817,0.545487286609522,93,"afritz",0.684913217623498,0.64218958611482,0.596795727636849,0.857142857142857,0.667823765020027,0.713951935914553,0.683968624833111,60.0694259012016,63.3786250253498,64.2122183026419,NA,NA,0
"A Garcia","Rocky Mountain Vibes",2022,17,72,62,21,4,1,0,7,1,2,13,16,0.338709677419355,0.402777777777778,0.435483870967742,0.83826164874552,0.0967741935483871,0.0972222222222222,0.180555555555556,0,5,0.0694444444444444,0.3675,0.403219653620203,0.505468647871367,86,"agarcia",0.232309746328438,0,0.379172229639519,0.489986648865154,0.139385847797063,0.429038718291055,0.24076435246996,28.3631508678238,46.0677347394038,35.5631789594054,NA,NA,0
"A Gauna","Great Falls Voyagers",2026,29,122,106,40,6,2,3,11,5,0,15,29,0.377358490566038,0.459016393442623,0.556603773584906,1.01562016702753,0.179245283018868,0.0901639344262295,0.122950819672131,0.0245901639344262,11,0.0901639344262295,0.443549180327869,0.450384809487762,0.58938642643552,96,"agauna",0.538050734312417,0.451268357810414,0.31241655540721,0.82109479305741,0.503337783711616,0.5413217623498,0.51663217623498,50.2002670226969,52.8898803488136,53.3954712665998,NA,NA,0
"A Guadalupe","Colorado Springs Sky Sox",2022,35,154,128,51,13,0,6,17,6,2,22,32,0.3984375,0.483660130718954,0.640625,1.12428513071895,0.2421875,0.11038961038961,0.142857142857143,0.038961038961039,19,0.123376623376623,0.481091503267974,0.403219653620203,0.505468647871367,147,"aguadalupe",0.783711615487316,0.684913217623498,0.512683578104139,0.727636849132176,0.744192256341789,0.609412550066756,0.697019359145527,64.6515353805073,57.0269722165889,65.0558270494191,NA,NA,0
"A Guadalupe","Colorado Springs Sky Sox",2023,85,366,333,117,21,4,17,23,3,5,39,75,0.351351351351351,0.392857142857143,0.591591591591592,0.984448734448734,0.24024024024024,0.0628415300546448,0.10655737704918,0.046448087431694,42,0.114754098360656,0.421725274725275,0.415712620826764,0.519508091651979,108,"aguadalupe",0.778371161548732,0.786381842456609,0.129506008010681,0.879839786381842,0.781575433911883,0.467156208277704,0.67152870493992,66.894526034713,48.3836949908741,63.4080930342945,NA,NA,0
"A Guadalupe","Colorado Springs Sky Sox",2024,21,78,65,24,5,0,3,12,1,0,11,16,0.369230769230769,0.474358974358974,0.584615384615385,1.05897435897436,0.215384615384615,0.153846153846154,0.141025641025641,0.0384615384615385,8,0.102564102564103,0.459846153846154,0.424262617051871,0.536937901498929,121,"aguadalupe",0.695594125500668,0.680907877169559,0.830440587449933,0.734312416555407,0.689719626168224,0.787182910547397,0.723831775700935,61.3831775700935,67.828026769418,66.789000722785,NA,NA,0
"A Hanson","Rocky Mountain Vibes",2022,63,221,197,58,13,3,4,18,3,2,50,38,0.294416243654822,0.359090909090909,0.451776649746193,0.810867558837102,0.157360406091371,0.081447963800905,0.226244343891403,0.0180995475113122,20,0.0904977375565611,0.355022727272727,0.403219653620203,0.505468647871367,78,"ahanson",0.455273698264352,0.361815754339119,0.233644859813084,0.229639519359146,0.417890520694259,0.231842456608812,0.352773698264353,45.0734312416555,34.086392212533,42.803542725223,NA,NA,0
"A Herron Jr.","Rocky Mountain Vibes",2023,64,268,235,76,16,1,7,26,4,3,49,52,0.323404255319149,0.395522388059701,0.48936170212766,0.884884090187361,0.165957446808511,0.0970149253731343,0.182835820895522,0.0261194029850746,24,0.0895522388059701,0.38680223880597,0.415712620826764,0.519508091651979,89,"a.",0.493991989319092,0.483311081441923,0.372496662216288,0.473965287049399,0.489719626168224,0.418157543391188,0.464672897196262,49.3831775700935,45.4066112350436,50.0367865195206,NA,NA,0
"A Kaufman","Billings Mustangs",2021,32,30,28,4,0,0,0,2,0,0,13,4,0.142857142857143,0.2,0.142857142857143,0.342857142857143,0,0.0666666666666667,0.433333333333333,0,0,0,0.1644,0.386737115479336,0.403905188465603,-13,"akaufman",0,0,0.138851802403204,0.0120160213618158,0,0.0817757009345794,0.0286214953271028,20,24.9685662137497,21.850113811666,NA,NA,0
"A Kern","Great Falls Voyagers",2021,41,30,27,5,0,0,0,3,0,0,18,5,0.185185185185185,0.266666666666667,0.185185185185185,0.451851851851852,0,0.1,0.6,0,0,0,0.217,0.386737115479336,0.403905188465603,15,"akern",0,0,0.412550066755674,0.00400534045393863,0,0.228704939919893,0.0800467289719626,20,33.8957615088217,25.1742774847082,NA,NA,0
"A Kirchner","Yuba-Sutter Freebirds",2026,55,245,219,82,17,1,20,22,0,4,54,44,0.374429223744292,0.424489795918367,0.735159817351598,1.15964961326997,0.360730593607306,0.0897959183673469,0.220408163265306,0.0816326530612245,38,0.155102040816327,0.487734693877551,0.450384809487762,0.58938642643552,119,"akirchner",0.969292389853137,0.973297730307076,0.309746328437917,0.264352469959947,0.970894526034713,0.28931909212283,0.732343124165554,78.2536715620828,37.5785844656256,67.3391803402483,NA,NA,0
"A Ludwick","Missoula PaddleHeads",2022,5,10,10,4,0,0,0,0,0,0,2,4,0.4,0.4,0.4,0.8,0,0,0.2,0,0,0,0.3552,0.403219653620203,0.505468647871367,78,"aludwick",0,0,0,0.381842456608812,0,0.171829105473965,0.0601401869158878,20,30.4400730075035,23.8875044499822,NA,NA,0
"A MacKenzie","Great Falls Voyagers",2025,2,3,3,1,0,0,0,0,0,0,2,1,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0.666666666666667,0,0,0,0.296,0.430165036674817,0.545487286609522,39,"amackenzie",0,0,0,0,0,0,0,20,20,20,NA,NA,0
"A Manisero","Great Falls Voyagers",2026,66,256,220,78,13,2,9,24,10,2,45,54,0.354545454545455,0.4375,0.554545454545455,0.992045454545455,0.2,0.09375,0.17578125,0.03515625,24,0.09375,0.431234375,0.450384809487762,0.58938642643552,91,"amanisero",0.628838451268358,0.63150867823765,0.345794392523364,0.512683578104139,0.629906542056075,0.420894526034713,0.556752336448598,57.7943925233645,45.5729061042385,55.9888669536231,NA,NA,0
"A Mata","Idaho Falls Chukars",2024,35,156,137,42,4,2,3,16,0,1,32,33,0.306569343065693,0.376623376623377,0.430656934306569,0.807280310929946,0.124087591240876,0.102564102564103,0.205128205128205,0.0192307692307692,9,0.0576923076923077,0.356902597402597,0.424262617051871,0.536937901498929,69,"amata",0.332443257676903,0.380507343124166,0.440587449933244,0.352469959946595,0.351668891855808,0.400934579439252,0.368911882510013,41.1001335113485,44.3601703508416,43.8467264312761,NA,NA,0
"A Mata","Idaho Falls Chukars",2025,71,309,280,97,20,4,5,21,3,4,46,68,0.346428571428571,0.392857142857143,0.5,0.892857142857143,0.153571428571429,0.0679611650485437,0.148867313915858,0.0161812297734628,29,0.0938511326860841,0.387756493506493,0.430165036674817,0.545487286609522,83,"amata",0.439252336448598,0.315086782376502,0.153538050734312,0.688918558077437,0.38958611481976,0.394459279038718,0.391291722296395,43.3751668891856,43.966741026161,45.2933751901356,NA,NA,0
"A Meggs","Grand Junction Jackalopes",2023,49,223,192,60,10,0,1,23,1,5,23,49,0.3125,0.380090497737557,0.380208333333333,0.76029883107089,0.0677083333333333,0.103139013452915,0.103139013452915,0.00448430493273542,11,0.0493273542600897,0.338981900452489,0.415712620826764,0.519508091651979,65,"ameggs",0.164218958611482,0.158878504672897,0.451268357810414,0.894526034712951,0.162082777036048,0.650734312416555,0.333110814419226,29.7249666221629,59.5376191441898,41.5325199305263,NA,NA,0
"A Monge","Grand Junction Jackalopes",2021,45,158,142,38,0,0,0,16,0,0,38,38,0.267605633802817,0.341772151898734,0.267605633802817,0.609377785701551,0,0.10126582278481,0.240506329113924,0,0,0,0.283443037974684,0.386737115479336,0.403905188465603,55,"amonge",0,0,0.427236315086782,0.162883845126836,0,0.308277703604806,0.107897196261682,20,38.7304806327317,26.9745514957334,NA,NA,0
"A Mow","Billings Mustangs",2022,35,99,84,25,7,1,3,12,3,0,15,14,0.297619047619048,0.404040404040404,0.511904761904762,0.915945165945166,0.214285714285714,0.121212121212121,0.151515151515152,0.0303030303030303,11,0.111111111111111,0.400949494949495,0.403219653620203,0.505468647871367,101,"amow",0.68758344459279,0.54739652870494,0.610146862483311,0.678237650200267,0.63150867823765,0.640787716955941,0.634756341789052,57.890520694259,58.9332792537011,61.0311013301401,NA,NA,0
"A Nielsen","Grand Junction Jackalopes",2022,68,295,262,83,13,0,2,22,4,3,36,68,0.316793893129771,0.374570446735395,0.389312977099237,0.763883423834632,0.0725190839694657,0.0745762711864407,0.122033898305085,0.00677966101694915,15,0.0508474576271186,0.340814432989691,0.403219653620203,0.505468647871367,70,"anielsen",0.170894526034713,0.17890520694259,0.194926568758344,0.826435246995995,0.174098798397864,0.479105473965287,0.280851134846462,30.4459279038718,49.1097140539444,38.1544170793014,NA,NA,0
"A Nielsen","Grand Junction Jackalopes",2023,20,45,40,12,2,0,1,3,0,0,7,9,0.3,0.348837209302326,0.425,0.773837209302326,0.125,0.0666666666666667,0.155555555555556,0.0222222222222222,3,0.0666666666666667,0.341976744186046,0.415712620826764,0.519508091651979,66,"anielsen",0.336448598130841,0.417890520694259,0.138851802403204,0.650200267022697,0.369025367156208,0.368958611481976,0.369002002670227,42.1415220293725,42.417359561955,43.8525518625198,NA,NA,0
"A Noviello","Missoula PaddleHeads",2022,49,193,162,49,11,0,3,28,1,2,32,35,0.302469135802469,0.404145077720207,0.425925925925926,0.830071003646133,0.123456790123457,0.145077720207254,0.16580310880829,0.0155440414507772,14,0.0725388601036269,0.369979274611399,0.403219653620203,0.505468647871367,84,"anoviello",0.331108144192256,0.30173564753004,0.787716955941255,0.588785046728972,0.31935914552737,0.698197596795728,0.451952603471295,39.1615487316422,62.4214155343744,49.2145376873038,NA,NA,0
"A Nunez","Rocky Mountain Vibes",2021,62,233,221,62,0,0,1,12,0,0,49,61,0.280542986425339,0.317596566523605,0.294117647058824,0.611714213582429,0.0135746606334842,0.0515021459227468,0.210300429184549,0.00429184549356223,1,0.00429184549356223,0.277034334763949,0.386737115479336,0.403905188465603,55,"anunez",0.0734312416555407,0.157543391188251,0.0801068090787717,0.331108144192256,0.107076101468625,0.19305740987984,0.13716955941255,26.4245660881175,31.7298722368688,28.8667378663819,NA,NA,0
"A Pimentel","Grand Junction Jackalopes",2025,83,394,313,103,29,1,17,61,11,5,68,56,0.329073482428115,0.448717948717949,0.591054313099042,1.03977226181699,0.261980830670927,0.154822335025381,0.17258883248731,0.0431472081218274,47,0.119289340101523,0.446030769230769,0.430165036674817,0.545487286609522,113,"apimentel",0.843791722296395,0.744993324432577,0.83845126835781,0.540720961281709,0.804272363150868,0.704472630173565,0.769342456608812,68.2563417890521,62.8026769417968,69.7308435008684,NA,NA,0
"A Ray","Grand Junction Jackalopes",2023,66,250,223,73,12,1,5,22,1,2,38,55,0.327354260089686,0.387096774193548,0.457399103139013,0.844495877332562,0.130044843049327,0.088,0.152,0.02,18,0.072,0.371431451612903,0.415712620826764,0.519508091651979,81,"aray",0.363150867823765,0.392523364485981,0.296395193591455,0.674232309746328,0.374899866488652,0.466421895861148,0.406932576769025,42.4939919893191,48.3390792942608,46.3044111459918,NA,NA,0
"A Ray","Ogden Raptors",2022,17,74,66,19,4,1,0,5,1,0,4,14,0.287878787878788,0.347222222222222,0.378787878787879,0.726010101010101,0.0909090909090909,0.0675675675675676,0.0540540540540541,0,5,0.0675675675675676,0.323666666666667,0.403219653620203,0.505468647871367,61,"aray",0.208277703604806,0,0.15086782376502,0.969292389853137,0.124966622162884,0.519158878504673,0.26293391188251,27.497997329773,51.543297505577,36.9962350453628,NA,NA,0
"A Redahan","Great Falls Voyagers",2026,24,124,111,51,13,1,5,11,0,1,6,32,0.459459459459459,0.504065040650406,0.72972972972973,1.23379477038014,0.27027027027027,0.0887096774193548,0.0483870967741935,0.0403225806451613,19,0.153225806451613,0.525609756097561,0.450384809487762,0.58938642643552,136,"aredahan",0.85981308411215,0.704939919893191,0.305740987983979,0.975967957276369,0.797863818424566,0.607343124165554,0.731181575433912,67.871829105474,56.9012370715879,67.264097004218,NA,NA,0
"A Rios","Grand Junction Jackalopes",2024,87,399,341,120,23,2,16,49,5,2,61,79,0.351906158357771,0.438287153652393,0.571847507331378,1.01013466098377,0.219941348973607,0.12280701754386,0.152882205513784,0.0401002506265664,41,0.102756892230576,0.437413098236776,0.424262617051871,0.536937901498929,110,"arios",0.720961281708945,0.702269692923899,0.624833110814419,0.67022696929239,0.713484646194926,0.645260347129506,0.689606141522029,62.8090787716956,59.2050294058,64.5766313904441,NA,NA,0
"A Rios","Rocky Mountain Vibes",2023,4,17,16,10,2,0,1,1,0,0,2,7,0.625,0.647058823529412,0.9375,1.58455882352941,0.3125,0.0588235294117647,0.117647058823529,0.0588235294117647,3,0.176470588235294,0.679352941176471,0.415712620826764,0.519508091651979,236,"arios",0.927903871829105,0.895861148197597,0.105473965287049,0.847797062750334,0.915086782376502,0.439519359145527,0.748638184245661,74.9052069425901,46.7045224092476,68.3925046117997,NA,NA,0
"A Rivero","Ogden Raptors",2022,8,39,37,11,3,0,1,1,1,0,10,7,0.297297297297297,0.333333333333333,0.459459459459459,0.792792792792793,0.162162162162162,0.0256410256410256,0.256410256410256,0.0256410256410256,4,0.102564102564103,0.347230769230769,0.403219653620203,0.505468647871367,74,"arivero",0.483311081441923,0.477970627503338,0.048064085447263,0.118825100133511,0.481174899866489,0.0799065420560748,0.340730974632844,48.8704939919893,24.8549989860069,42.0250925056906,NA,NA,0
"A Sanchez","Missoula PaddleHeads",2024,76,353,306,101,22,2,20,42,2,2,77,57,0.330065359477124,0.411931818181818,0.611111111111111,1.02304292929293,0.281045751633987,0.118980169971671,0.218130311614731,0.056657223796034,44,0.124645892351275,0.438221590909091,0.424262617051871,0.536937901498929,111,"asanchez",0.87716955941255,0.883845126835781,0.590120160213618,0.279038718291055,0.879839786381842,0.450133511348465,0.72944259012016,72.7903871829105,47.3494220239302,67.1516877568853,NA,NA,0
"A Sequera","Boise Hawks",2022,46,225,197,70,25,0,2,26,1,1,28,43,0.355329949238579,0.431111111111111,0.512690355329949,0.94380146644106,0.157360406091371,0.115555555555556,0.124444444444444,0.00888888888888888,27,0.12,0.412546666666667,0.403219653620203,0.505468647871367,108,"asequera",0.453938584779706,0.202937249666222,0.566088117489987,0.813084112149533,0.353538050734312,0.677236315086782,0.466832443257677,41.2122830440588,61.1478401946867,50.1763811126574,NA,NA,0
"A Shaver","Billings Mustangs",2025,75,314,264,79,13,2,10,32,15,2,86,54,0.299242424242424,0.402555910543131,0.477272727272727,0.879828637815858,0.178030303030303,0.101910828025478,0.273885350318471,0.0318471337579618,25,0.0796178343949045,0.388584664536741,0.430165036674817,0.545487286609522,81,"ashaver",0.531375166889186,0.567423230974633,0.431241655540721,0.0761014686248331,0.545794392523364,0.271428571428571,0.449766355140187,52.7476635514019,36.4915838572298,49.0732170404652,NA,NA,0
