"player_name","team","season","pa","ops","ops_plus","woba","iso","hr_rate","bb_rate","k_rate","power_grade","discipline_grade","scout_grade"
"C Caffrey","Ogden Raptors",2021,60,0.741823899371069,88,0.337516666666667,0.0566037735849056,0.0166666666666667,0.116666666666667,0.2,32.5427872860636,49.486288621417,42.1853696906135
"A Ray","Grand Junction Jackalopes",2023,250,0.844495877332562,81,0.371431451612903,0.130044843049327,0.02,0.088,0.152,42.0488997555012,48.3360218389378,42.1735710540115
"D Aragon","Yuba-Sutter Freebirds",2026,235,0.844334433443344,73,0.374213675213675,0.158415841584158,0.0297872340425532,0.106382978723404,0.182978723404255,49.8239608801956,48.9279066881747,42.1735710540115
"H Hall","Great Falls Voyagers",2024,271,0.88951148770747,85,0.389070110701107,0.181069958847737,0.029520295202952,0.0701107011070111,0.214022140221402,52.7432762836186,34.0749472639285,42.1578395385422
"C Perez","Missoula PaddleHeads",2025,258,0.858425132598939,76,0.374062015503876,0.166666666666667,0.0348837209302326,0.0736434108527132,0.147286821705426,53.2860635696821,45.4882739794019,42.1224436287362
"E McCabe","Glacier Range Riders",2022,321,0.822406914893617,83,0.364903125,0.0957446808510639,0.00934579439252336,0.0872274143302181,0.130841121495327,32.9242053789731,51.2061049758034,42.0831148400629
"D Jackson","Boise Hawks",2026,289,0.809926034152132,67,0.360840425531915,0.124463519313305,0.013840830449827,0.103806228373702,0.114186851211073,38.1907090464548,58.4613475617322,41.929732564237
"T Minder","Boise Hawks",2023,381,0.828823858639162,78,0.36302110817942,0.142424242424242,0.020997375328084,0.0813648293963255,0.136482939632546,43.9559902200489,48.2020101749597,41.929732564237
"J Lara","Rocky Mountain Vibes",2022,49,0.912394225983076,103,0.402857142857143,0.0975609756097561,0,0.0816326530612245,0.326530612244898,28.2738386308068,28.5246308474997,41.8510749868904
"L Terilli","Modesto Roadsters",2026,193,0.77130599185573,61,0.360120418848168,0.104166666666667,0.0155440414507772,0.227979274611399,0.207253886010363,36.3276283618582,62.6454895148281,41.7252228631358
"E Amundson","Yuba-Sutter Freebirds",2026,103,0.742227555361623,49,0.320543689320388,0.269662921348315,0.0679611650485437,0.116504854368932,0.349514563106796,73.5892420537897,39.2195061422013,41.6269008914525
"K O'Brien","Glacier Range Riders",2023,13,0.961538461538462,107,0.426538461538462,0.0833333333333333,0,0,0.230769230769231,26.8655256723716,26.1310336270009,41.5875721027792
"A Garcia","Rocky Mountain Vibes",2022,72,0.83826164874552,86,0.3675,0.0967741935483871,0,0.0972222222222222,0.180555555555556,28.1418092909535,46.1062166521901,41.5285789197693
"M Deeb","Great Falls Voyagers",2021,339,0.76476111885724,93,0.341622418879056,0.0964630225080386,0.0294985250737463,0.0825958702064897,0.1976401179941,41.0073349633252,39.018488646234,41.5167802831673
"E Corona","Great Falls Voyagers",2025,302,0.908630332529895,84,0.389711920529801,0.215547703180212,0.0364238410596026,0.0463576158940397,0.23841059602649,61.1491442542787,27.0542250899615,41.5049816465653
"J Sisto","Boise Hawks",2026,125,0.809943925233645,65,0.354192,0.186915887850467,0.04,0.072,0.12,57.6136919315403,48.6598833602184,41.4971158888306
"R Orsak","Glacier Range Riders",2024,59,0.840741925167893,77,0.373542372881356,0.0943396226415095,0,0.101694915254237,0.135593220338983,27.7897310513447,55.0217148529594,41.4499213424227
"J Hubbard","Grand Junction Jackalopes",2022,254,0.862931296678044,90,0.375933070866142,0.150214592274678,0.0236220472440945,0.0551181102362205,0.204724409448819,45.9511002444988,32.9581833974438,41.4145254326167
"C Phelts","Colorado Springs Sky Sox",2022,354,0.835334084012443,84,0.365587896253602,0.175496688741722,0.019774011299435,0.096045197740113,0.282485875706215,48.2249388753056,33.7361955577615,41.3555322496067
"M Jefferson","Oakland Ballers",2024,168,0.840136054421769,76,0.375113095238095,0.115646258503401,0.0178571428571428,0.101190476190476,0.154761904761905,38.8655256723716,52.0101749596724,41.3083377031987
